City,Locality / Area,Property Type,Bedrooms,Rent Price,Furnishing Status,Size,Amenities,Project/Owner Name,Contact / Listing Link,Additional Notes
Gandhinagar,Gujarat International Finance Tec City,Flat,2 BHK,40000,Fully furnished,1135 sq.ft,"Gym, Lift, Parking, Pet Allowed",Visat Realty,N/A,N/A
Gandhinagar,Koba,Flat,3 BHK,20000,Un-furnished,1625 sq.ft,"Gym, Lift, Parking, Intercom",Royalnest Properties Solutions,N/A,N/A
Gandhinagar,Gujarat International Finance Tec City,Flat,2 BHK,35000,Semi furnished,765 sq.ft,"24x7 Security, Business Center, Close to Bus Stop, Close to Hospital",Anoop,N/A,N/A
Gandhinagar,Sargasan,Penthouse,2 BHK,28000,Fully furnished,1200 sq.ft,"Gym, Parking, Garden, Sports Facility",Umiya Real Estate,N/A,N/A
Gandhinagar,Bhaijipura,Flat,3 BHK,35000,Un-furnished,2232 sq.ft,"Pool, Gym, Lift, Parking",EIGHT CORNER REALTORS,N/A,N/A
Gandhinagar,Bhaijipura,Flat,2 BHK,30000,Fully furnished,1800 sq.ft,"Parking, Gas Pipeline",Umiya Real Estate,N/A,N/A
Gandhinagar,Sargasan,Flat,2 BHK,28000,Fully furnished,578 sq.ft,"Parking, Garden, Sports Facility, Kids Area",Umiya Real Estate,N/A,N/A
Gandhinagar,Vavol,Flat,3 BHK,17000,Un-furnished,1650 sq.ft,Parking,Umiya Real Estate,N/A,N/A
Gandhinagar,Sargasan,Flat,3 BHK,32000,Un-furnished,2258 sq.ft,"Pool, Gym, Lift, Parking",EIGHT CORNER REALTORS,N/A,N/A
Gandhinagar,Gujarat International Finance Tec City,Flat,2 BHK,37000,Fully furnished,900 sq.ft,"Parking, Gas Pipeline",Umiya Real Estate,N/A,N/A
Gandhinagar,Randesan,Flat,3 BHK,18500,Un-furnished,1800 sq.ft,Parking,Umiya Real Estate,N/A,N/A
Gandhinagar,Sargasan,Villa,5 BHK,65000,Semi furnished,5000 sq.ft,"24x7 Security, Close to ATM, Metro Station Proximity, Close to Pubs & Restaurants",Madhav Realtors,N/A,N/A
Gandhinagar,Sargasan,Flat,2 BHK,22000,Fully furnished,1400 sq.ft,"24x7 Security, Close to Airport, Close to Grocery Stores, Close to Hospital",Madhav Realtors,N/A,N/A
Gandhinagar,Raysan,Flat,3 BHK,35000,Fully furnished,2500 sq.ft,"24x7 Security, Close to Airport, Close to Grocery Stores, Metro Station Proximity",Madhav Realtors,N/A,N/A
Gandhinagar,Sargasan,Flat,2 BHK,18000,Un-furnished,1200 sq.ft,Parking,Un-furnished,N/A,N/A
Gandhinagar,Randesan,Flat,3 BHK,35000,Fully furnished,1680 sq.ft,"Lift, Parking, Garden, Kids Area",Fully furnished,N/A,N/A
Gandhinagar,Kudasan,Flat,2 BHK,25000,Fully furnished,1170 sq.ft,"Lift, Parking, Kids Area, Water Supply",Fully furnished,N/A,N/A
Gandhinagar,Kudasan,Flat,2 BHK,32000,Fully furnished,1200 sq.ft,"Pool, Gym, Lift, Parking",Fully furnished,N/A,N/A
Gandhinagar,Randesan,Flat,2 BHK,25000,Fully furnished,1179 sq.ft,"Lift, Parking, Garden, Kids Area",Fully furnished,N/A,N/A
Gandhinagar,Raysan,Villa,3 BHK,90000,Fully furnished,2500 sq.ft,"24x7 Security, Close to Airport, Metro Station Proximity, Close to Grocery Stores",Fully furnished,N/A,N/A
Gandhinagar,Vavol,Flat,2 BHK,20000,Fully furnished,1200 sq.ft,"Lift, Parking, Power Backup, Garden",Fully furnished,N/A,N/A
Gandhinagar,Randesan,Flat,3 BHK,25000,Fully furnished,1500 sq.ft,"Lift, Parking, Power Backup, Garden",Fully furnished,N/A,N/A
Gandhinagar,Sargasan,Flat,3 BHK,22000,Un-furnished,1600 sq.ft,Parking,Un-furnished,N/A,N/A
